state_0,state_1,state_2,state_3,state_4,state_5,state_6,actions,rewards,dones
0.0,150000.0,0.0,0.0,0.0,1552.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,3052.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,4552.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,6052.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,7552.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,9052.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,10552.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,12052.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,13552.0,1500.0,0,0,0
0.0,150000.0,0.0,10000.0,0.0,9000.0,52.0,0,10000,0
1.0,150000.0,0.0,10000.0,0.0,0.0,1500.0,0,10000,0
1.0,150000.0,0.0,10000.0,0.0,1500.0,1500.0,0,10000,0
1.0,150000.0,0.0,10000.0,0.0,3000.0,1500.0,0,10000,0
1.0,150000.0,0.0,10000.0,0.0,4500.0,1500.0,0,10000,0
1.0,150000.0,0.0,10000.0,0.0,6000.0,1500.0,0,10000,0
1.0,150000.0,0.0,10000.0,0.0,7500.0,1500.0,0,10000,0
1.0,150000.0,0.0,10000.0,0.0,1500.0,1500.0,0,10000,0
1.0,150000.0,0.0,10000.0,0.0,3000.0,1500.0,0,10000,0
1.0,150000.0,0.0,10000.0,0.0,4500.0,1500.0,0,10000,0
0.0,135000.0,12451.0,20000.0,12451.0,7552.0,52.0,0,20000,0
0.0,135000.0,12451.0,20000.0,24902.0,7604.0,1500.0,0,20000,0
1.0,150000.0,0.0,10000.0,0.0,6000.0,1500.0,0,10000,0
0.0,135000.0,12451.0,20000.0,37353.0,9104.0,1500.0,0,20000,0
0.0,135000.0,12451.0,20000.0,49804.0,10604.0,1500.0,0,20000,0
0.0,135000.0,12451.0,30000.0,62255.0,7604.0,1500.0,0,30000,0
0.0,135000.0,12451.0,30000.0,74706.0,9104.0,1500.0,0,30000,0
0.0,135000.0,12451.0,30000.0,87157.0,10604.0,52.0,0,30000,0
0.0,135000.0,12451.0,30000.0,99608.0,10656.0,52.0,0,30000,0
0.0,120000.0,125172.0,10000.0,224780.0,1604.0,1500.0,0,10000,0
0.0,105000.0,0.0,10000.0,0.0,3104.0,52.0,0,10000,0
0.0,105000.0,0.0,10000.0,0.0,3156.0,1500.0,0,10000,0
0.0,105000.0,0.0,10000.0,0.0,4656.0,52.0,0,10000,0
0.0,105000.0,0.0,80000.0,0.0,0.0,1500.0,0,80000,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,52.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,104.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,156.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,208.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,260.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,312.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,364.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,416.0,52.0,0,0,0
