state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,actions,rewards,dones
0.0,0.0,410198340.0,190000.0,18003890000.0,0.0,111728.0,6.0,0,190000,0
0.0,0.0,410198340.0,190000.0,16773295000.0,0.0,107228.0,6.0,0,190000,0
0.0,0.0,410198340.0,190000.0,17183494000.0,0.0,108728.0,6.0,0,190000,0
0.0,0.0,410198340.0,190000.0,17593692000.0,0.0,110228.0,6.0,0,190000,0
0.0,0.0,410198340.0,190000.0,18003890000.0,0.0,111728.0,6.0,0,190000,0
0.0,0.0,410198340.0,190000.0,18414088000.0,0.0,113228.0,6.0,1,190000,0
0.0,0.0,410198340.0,190000.0,10254959000.0,0.0,140564.0,7.0,0,190000,0
0.0,0.0,410198340.0,190000.0,10665157000.0,0.0,140616.0,7.0,0,190000,0
0.0,0.0,410198340.0,190000.0,11075355000.0,0.0,140680.0,7.0,0,190000,0
0.0,0.0,410198340.0,190000.0,11485553000.0,0.0,140744.0,7.0,0,190000,0
0.0,0.0,410198340.0,190000.0,11895752000.0,0.0,140808.0,7.0,0,190000,0
0.0,0.0,410198340.0,190000.0,10665157000.0,0.0,140616.0,7.0,0,190000,0
0.0,0.0,410198340.0,190000.0,11075355000.0,0.0,140680.0,7.0,0,190000,0
0.0,0.0,410198340.0,190000.0,11485553000.0,0.0,140744.0,7.0,0,190000,0
0.0,0.0,410198340.0,190000.0,11895752000.0,0.0,140808.0,7.0,0,190000,0
0.0,0.0,410198340.0,190000.0,0.0,0.0,140860.0,7.0,1,190000,0
1.0,105000.0,970586.0,60000.0,5413240.0,0.0,30000.0,0.0,0,60000,0
1.0,105000.0,970586.0,60000.0,6383826.0,0.0,31500.0,0.0,0,60000,0
0.0,0.0,539047360.0,240000.0,8156664000.0,0.0,144040.0,8.0,0,240000,0
1.0,105000.0,970586.0,60000.0,7354412.0,0.0,33000.0,0.0,0,60000,0
1.0,105000.0,970586.0,60000.0,8324998.0,0.0,34500.0,0.0,0,60000,0
1.0,105000.0,970586.0,60000.0,6383826.0,0.0,31500.0,0.0,0,60000,0
0.0,0.0,539047360.0,240000.0,8156664000.0,0.0,144040.0,8.0,0,240000,0
1.0,105000.0,970586.0,60000.0,7354412.0,0.0,33000.0,0.0,0,60000,0
1.0,105000.0,970586.0,60000.0,8324998.0,0.0,34500.0,0.0,0,60000,0
0.0,0.0,539047360.0,240000.0,0.0,0.0,145540.0,8.0,1,240000,0
0.0,0.0,557837800.0,220000.0,11928000000.0,0.0,123608.0,9.0,0,220000,0
0.0,0.0,557837800.0,220000.0,12485838000.0,0.0,123660.0,9.0,0,220000,0
0.0,0.0,557837800.0,220000.0,13043676000.0,0.0,123712.0,9.0,0,220000,0
0.0,0.0,557837800.0,230000.0,13601513000.0,0.0,120660.0,9.0,0,230000,0
0.0,0.0,557837800.0,230000.0,14159352000.0,0.0,120712.0,9.0,0,230000,0
0.0,0.0,557837800.0,220000.0,12485838000.0,0.0,123660.0,9.0,0,220000,0
0.0,0.0,557837800.0,220000.0,13043676000.0,0.0,123712.0,9.0,0,220000,0
0.0,0.0,557837800.0,230000.0,13601513000.0,0.0,120660.0,9.0,0,230000,0
0.0,0.0,557837800.0,230000.0,14159352000.0,0.0,120712.0,9.0,0,230000,0
0.0,0.0,557837800.0,230000.0,0.0,0.0,120764.0,9.0,1,230000,0
0.0,0.0,557837800.0,230000.0,1673513500.0,0.0,120868.0,10.0,0,230000,0
0.0,0.0,557837800.0,230000.0,2231351300.0,0.0,120920.0,10.0,0,230000,0
0.0,0.0,557837800.0,230000.0,2789189000.0,0.0,120972.0,10.0,0,230000,0
0.0,0.0,557837800.0,230000.0,3347027000.0,0.0,121024.0,10.0,0,230000,0
0.0,0.0,557837800.0,230000.0,3904864800.0,0.0,121076.0,10.0,0,230000,0
0.0,0.0,557837800.0,230000.0,2231351300.0,0.0,120920.0,10.0,0,230000,0
0.0,0.0,557837800.0,230000.0,2789189000.0,0.0,120972.0,10.0,0,230000,0
0.0,0.0,557837800.0,230000.0,3347027000.0,0.0,121024.0,10.0,0,230000,0
0.0,0.0,557837800.0,230000.0,3904864800.0,0.0,121076.0,10.0,0,230000,0
0.0,0.0,557837800.0,230000.0,0.0,0.0,121128.0,10.0,1,230000,0
0.0,0.0,643737150.0,190000.0,4978098700.0,0.0,85412.0,11.0,0,190000,0
0.0,0.0,643737150.0,190000.0,5621836000.0,0.0,85476.0,11.0,0,190000,0
0.0,0.0,643737150.0,190000.0,6265573000.0,0.0,85528.0,11.0,0,190000,0
0.0,0.0,643737150.0,190000.0,6909310000.0,0.0,85592.0,11.0,0,190000,0
0.0,0.0,643737150.0,190000.0,7553047600.0,0.0,85656.0,11.0,0,190000,0
0.0,0.0,643737150.0,190000.0,5621836000.0,0.0,85476.0,11.0,0,190000,0
0.0,0.0,643737150.0,190000.0,6265573000.0,0.0,85528.0,11.0,0,190000,0
